Processes: 469 total, 2 running, 467 sleeping, 1679 threads 
2021/10/11 12:20:06
Load Avg: 1.52, 1.87, 1.97 
CPU usage: 3.94% user, 11.18% sys, 84.86% idle 
SharedLibs: 283M resident, 38M data, 31M linkedit.
MemRegions: 84148 total, 2856M resident, 77M private, 764M shared.
PhysMem: 7890M used (2002M wired), 300M unused.
VM: 4266G vsize, 2321M framework vsize, 7413740(0) swapins, 8051695(0) swapouts.
Networks: packets: 2615023/4025M in, 3296906/1981M out.
Disks: 1429398/56G read, 633499/63G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP PPID STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS  COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
5373  Terminal         0.0  00:38.82 11    5   364    110M  40K   13M   5373 1    sleeping *0[499]    0.00000 0.00000    501 701463  558    151771   31305    156238   365076   131646    1840    4416    0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5369  com.apple.WebKit 0.0  00:30.67 4     1   104    185M  0B    153M  5369 1    sleeping  0[9085]   0.00000 0.00000    501 195727  503    91928    44001    298618   351582   158216    655     1487    0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5329  com.apple.Safari 0.0  00:00.69 4     1   181    4860K 0B    2912K 5329 1    sleeping *0[126]    0.00000 0.00000    501 6189    176    1663     567      15754    3666     8681      5       264     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5325  iOSScreenCapture 0.0  00:00.08 3     1   36     1624K 0B    1592K 5325 1    sleeping *0[1]      0.00000 0.00000    0   2236    248    96       36       792      224      149       0       0       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
5322  Telegram         0.0  01:25.76 40    10  1026   192M  492K  134M  5322 1    sleeping  0[471]    0.00000 0.00000    501 552846  8763   245170   43265    845678   548416   562686    1754    42276   0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5310  com.apple.WebKit 0.0  00:01.39 6     1   263    9648K 24K   5372K 5310 1    sleeping *0[55]     0.00000 0.00000    501 14887   234    4591     1881     28865    18421    12977     45      394     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5309  com.apple.WebKit 0.0  00:03.09 3     1   88     63M   0B    42M   5309 1    sleeping  0[1726]   0.00000 0.00000    501 64271   319    8808     4350     33335    27384    17471     5       225     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5307  com.apple.WebKit 0.0  00:12.55 3     1   85     200M  0B    138M  5307 1    sleeping  0[5663]   0.00000 0.00000    501 292189  305    39220    26239    140678   170400   71677     33      400     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5303  QuickLookUIServi 0.0  00:00.25 3     1   138    3216K 0B    1928K 5303 1    sleeping  0[339]    0.00000 0.00000    501 5136    248    2698     637      3602     7663     3581      0       77      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5302  com.apple.appkit 0.0  00:01.87 3     1   203    13M   0B    11M   5302 1    sleeping  0[355]    0.00000 0.00000    501 16241   399    6301     2042     14440    11784    8097      540     80      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5301  SafariCloudHisto 0.0  00:00.79 3     2   48     1488K 0B    984K  5301 1    sleeping *0[1]      0.00000 0.00000    501 2618    140    3073     52       21735    12054    18392     2       1515    0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5300  webinspectord    0.0  00:00.43 2     1   80     1316K 0B    608K  5300 1    sleeping *0[795]    0.00000 0.00000    501 3216    173    4836     1110     8055     7569     4271      4       3       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5299  com.apple.Safari 0.0  00:00.38 3     1   146    6316K 0B    4864K 5299 1    sleeping  0[355]    0.00000 0.00000    501 7510    283    2729     653      4102     7785     3525      4       74      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5298  sandboxd         0.0  00:01.08 4     2   65     1860K 0B    1528K 5298 1    sleeping *0[1]      0.00000 0.00000    0   29002   157    8090     3706     18085    8699     6368      853     553     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
5297  Session Pal Exte 0.0  00:00.50 3     1   157    3712K 0B    1824K 5297 1    sleeping  0[1193]   0.00000 0.00000    501 6755    295    5669     1334     7264     12462    5904      4       95      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5296  Grammarly Safari 0.0  00:10.14 7     2   254    26M   4096B 14M   5296 1    sleeping  0[111]    0.00000 0.00000    501 218412  483    101888   47518    165460   274788   78796     19      1699    0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5295  AdGuard Assistan 0.0  00:03.02 6     1   166    5352K 0B    2132K 5295 1    sleeping  0[986]    0.00000 0.00000    501 24143   460    11784    3656     79597    31318    22312     169     142     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5293  ImageIOXPCServic 0.0  00:03.89 2     1   32     4368K 0B    3208K 5293 1    sleeping *0[8004]   0.00000 0.00000    501 49448   243    53135    15240    54853    45805    22951     5       40      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5292  com.apple.WebKit 0.0  00:16.26 7     1   932    29M   12K   14M   5292 1    sleeping *0[127]    0.00000 0.00000    501 174494  236    54959    23205    417885   206055   187267    33978   827     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5291  com.apple.WebKit 0.0  00:28.59 5     1   168    170M  0B    166M  5291 1    sleeping *0[7357]   0.00000 0.00000    501 231293  12117  96869    49458    253697   283267   149972    1853    2006    0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5289  Safari           0.0  02:33.29 7     1   1290   148M  928K  70M   5289 1    sleeping  0[1357]   0.00000 0.00000    501 831880  1802   1190958  393309   1773950  2948120  1113576   6371    19140   0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5272  MTLCompilerServi 0.0  00:00.29 2     1   25     6328K 0B    6312K 5272 1    sleeping *0[2]      0.00000 0.00000    0   5096    555    102      38       528      229      264       322     1       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
5271  MTLCompilerServi 0.0  00:00.34 2     1   27     4608K 0B    4576K 5271 1    sleeping *0[3]      0.00000 0.00000    0   3957    155    104      37       779      204      352       500     1       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
5250  adguard-connreso 0.0  00:00.15 2     1   37     2532K 0B    2060K 5250 5239 sleeping *0[1]      0.00000 0.00000    0   1969    83     93       33       4405     201      1063      3       4       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
5249  PerfPowerService 0.0  00:07.04 3     1   266    7180K 256K  2000K 5249 1    sleeping *2[2]      0.00000 0.00000    0   35525   254    147470   73272    104869   109440   56530     680     236     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
5248  netbiosd         0.0  00:00.12 2     1   23     900K  0B    784K  5248 1    sleeping *0[1]      0.00000 0.00000    222 2149    135    171      42       1361     332      454       2       16      0.0   0      0      _netbios               N/A    N/A   N/A   N/A   N/A   N/A  
5239  adguard_service  0.0  00:42.19 21    4   102    64M   0B    25M   5239 482  sleeping *0[4]      0.00000 0.00000    501 89646   329    4140     1050     912394   45321    421727    666     425     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5237  eapolclient      0.0  00:00.11 3     1   56     1372K 0B    1340K 5237 74   sleeping *0[1]      0.00000 0.00000    501 1868    263    378      104      6276     918      578       16      1       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5203  com.apple.AppleU 0.0  00:00.02 2     1   75     1260K 0B    1244K 5203 1    sleeping  0[1]      0.00000 0.00000    270 912     128    248      123      559      252      148       0       0       0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5202  com.apple.AppleU 0.0  00:00.01 2     1   75     764K  0B    748K  5202 1    sleeping  0[1]      0.00000 0.00000    270 787     128    243      116      552      247      149       0       0       0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5201  com.apple.AppleU 0.0  00:00.01 2     1   77     844K  0B    824K  5201 1    sleeping  0[1]      0.00000 0.00000    270 811     128    270      133      555      269      184       0       0       0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5200  com.apple.AppleU 0.0  00:00.02 2     1   75     736K  0B    728K  5200 1    sleeping  0[1]      0.00000 0.00000    270 801     128    418      185      558      373      218       0       0       0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5199  com.apple.AppleU 0.0  00:00.28 2     1   76     868K  0B    496K  5199 1    sleeping  0[1]      0.00000 0.00000    270 921     128    7600     4477     2275     6399     2158      0       0       0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5198  com.apple.AppleU 0.0  00:34.86 3     2   78     928K  0B    524K  5198 1    sleeping  0[1]      0.00000 0.00000    270 1144    128    779732   467981   468476   314023   332167    0       47      0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5197  com.apple.AppleU 0.0  00:00.02 2     1   75     848K  0B    840K  5197 1    sleeping  0[1]      0.00000 0.00000    270 829     128    435      193      561      384      228       0       0       0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5196  com.apple.AppleU 0.0  00:00.90 3     2   77     896K  0B    552K  5196 1    sleeping  0[1]      0.00000 0.00000    270 1422    128    16643    9914     10490    6998     7183      0       46      0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5195  com.apple.AppleU 0.0  00:00.03 2     1   75     900K  0B    892K  5195 1    sleeping  0[1]      0.00000 0.00000    270 847     128    476      213      566      428      230       0       0       0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5194  com.apple.AppleU 0.0  00:00.05 2     1   76     916K  0B    888K  5194 1    sleeping  0[1]      0.00000 0.00000    270 1190    128    931      492      682      811      427       0       0       0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5193  com.apple.AppleU 0.0  00:00.20 2     1   76     904K  0B    632K  5193 1    sleeping  0[1]      0.00000 0.00000    270 1301    128    4847     2851     1642     4111     1451      0       1       0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
